胡锦涛与韩国总统李明博举行会谈,340268,
中新网首尔八月二十五日电 (记者 孙宇挺)中国国家主席胡锦涛二十五日下午在首尔青瓦台总统府与韩国总统李明博举行会谈。,340268,首尔，青瓦台总统府
胡锦涛出访亚洲三国并出席上合组织峰会,340269," (2,亚洲)"
新华网北京8月25日电 应韩国总统李明博、塔吉克斯坦总统拉赫蒙和土库曼斯坦总统别尔德穆哈梅多夫邀请，国家主席胡锦涛于25日乘专机离开北京，赴韩国、塔吉克斯坦、土库曼斯坦进行国事访问并出席在塔吉克斯坦首都杜尚别举行的上海合作组织成员国元首理事会第八次会议。,340269,
胡锦涛同韩国总统李明博举行会谈,340270,
新华网首尔8月25日电 中国国家主席胡锦涛25日下午在首尔同韩国总统李明博举行会谈，就进一步发展中韩关系交换意见。,340270,首尔
胡锦涛在首尔同李明博举行会谈,340271," (2,首尔)"
新华网快讯：中国国家主席胡锦涛25日下午在韩国首都首尔同韩国总统李明博举行会谈，就进一步发展中韩关系交换意见。,340271,首尔
胡锦涛宣布将赠送一对朱?给韩国,340272,
《世界新闻报》记者/李静,340272,
胡锦涛抵达韩国后在机场发表讲话,340273," (2,韩国)"
国际在线报道(记者全宇虹、张敏、金锦哲)：应韩国总统李明博的邀请，中国国家主席胡锦涛25日中午乘专机抵达韩国首都首尔，开始对韩国进行国事访问。这是北京奥运会闭幕后中国最高领导人的首次出访。,340273,韩国首尔
胡锦涛首尔机场发表讲话：共创中韩关系新局面,340274,首尔
中新网首尔八月二十五日电 (记者 孙宇挺)中国国家主席胡锦涛二十五日中午抵达韩国首都首尔，胡锦涛在机场对记者发表讲话。,340274, 韩国首尔
陈水扁儿子没注册拥有学生证引发各方质疑,340275,
中新网8月25日电 陈水扁儿子陈致中23日搭机回台湾前，在机场秀出弗吉尼亚大学学生证。对此，弗吉尼亚大学一位曾负责学生入学事务的教授表示，“很难想象没有完成注册程序的学生，竟能拥有学生证。”,340275," (10,台湾)"
陈水扁揭露李登辉在任内公款私用,340276,
本报讯 据《海峡导报》报道 近日，涉嫌洗钱案的陈水扁爆料，揭露李登辉公款私用，称其在“总统”任内将1000多万美元(约3亿元新台币)公款流入李创办的“台湾综合研究院”。,340276," (42,台湾)"
陈水扁自称曾捐给民进党3.4亿新台币,340277,
人民网8月25日电 陈水扁说曾捐新台币三亿四千万元给民进党，民进党主席蔡英文23日中午出席北县募款餐会时表示，已透过财务部门清查，等到财务部门25日提出报告后，才能对外说明。,340277,
中国在苏丹首府设总领馆,340278,苏丹
中新网8月26日电 据中国外交部网站消息，8月25日，中国驻朱巴总领事张清洋抵苏丹南方首府朱巴，受到了苏丹南方自治政府官员、中资机构代表和华人的热烈欢迎，并接受了当地电台、电视台的联合采访。,340278,朱巴
中国新任驻新西兰大使递交国书副本,340279,新西兰
新华网惠灵顿8月26日电 (记者 刘洁秋) 中国新任驻新西兰大使张利民25日向新外交贸易部礼宾司司长塞莱尔递交了国书副本。,340279,新西兰
全国人大常委会将审议审计报告,340280,
本报讯 新一届全国人大常委会履职以来工作最为繁忙的一次常委会昨日召开，此次会议将审议五部法律草案和五个报告。,340280,
台检方再传唤陈水扁妻兄吴景茂 不排除申请羁押,340281,
中国台湾网8月26日消息 据台湾媒体报道，台检方特侦组追查陈水扁家族疑似洗钱案，发现陈家的相关账户，出现许多常见的洗钱手法，包括人头户、大额现钞提存、银楼汇款等情形，涉及洗钱的嫌疑大增。而吴淑珍的胞兄吴景茂，是本案关键人物之一。台检方特侦组今天下午2点，再度传唤吴景茂，若他不能清楚交代资金流向，台检方特侦组不排除在讯后，向法院申请羁押。,340281,台湾
外交部：奥运会成功并不意味中国世界地位改变,340282,
中国日报网环球在线消息：外交部发言人秦刚8月26日在例行记者会上对北京奥运会的成功举办给予了高度评价，并向参加奥运会的各国运动员表示感谢和祝贺。,340282,
外交部：希望日本加快消除在华遗留化学武器,340283,华
新华网北京8月26日电 (记者孙奕 白洁)外交部发言人秦刚26日在例行记者会上就日本在华遗留化学武器问题答记者问时表示，中方希望日本能够尽最大的努力，进一步地加快消除在华遗留化学武器的进程，早日消除日遗化武对中国有关地区人民生命财产和生态环境造成的威胁。,340283,华，中国
据称陈致中返台系因人身安全遭黑道威胁,340284,
人民网8月26日电 陈水扁的儿子陈致中夫妇在25日返台，并且在下午接受特侦组的侦讯。台湾资深媒体人杨宪宏今天在一个电视节目爆料说，扁家在瑞士的7亿岛外帐户，其实就是分给陈致中的财产。他指出，陈致中夫妇之所以回台，是因为830游行将届，陈水扁在政治上必须给绿营交代，加上美国黑道闻风找人，陈致中夫妇的安全发生问题，所以才返回台湾。,340284,台湾，瑞士
教育部将出台幼儿园收费标准暂行管理办法,340285,
中新网8月26日电 据中央电视台消息，针对目前部分幼儿园存在的高收费问题，教育部新闻发言人表示，教育部、发改委、财政部等部门将出台幼儿园收费标准暂行管理办法。,340285,
王胜俊：法院须把实现人民新要求作为工作标准,340286,
中新社北戴河八月二十六日电 最高人民法院院长王胜俊在此间举行的全国大法官“大学习、大讨论”研讨班上强调，人民法院必须把实现人民的新要求新期待作为工作的根本出发点和衡量标准；必须把促进社会和谐作为最重要的目标追求；必须把严格公正文明司法，保障社会公平正义作为司法工作的生命线。,340286,
胡锦涛到访塔吉克斯坦 将出席上合组织峰会,340287," (2,塔吉克斯坦)"
中新网杜尚别八月二十六日电 (记者 齐彬)中国国家主席胡锦涛周二傍晚抵达杜尚别，开始他此次亚洲之行的第二站访问行程，塔吉克斯坦总统拉赫蒙等高级官员到机场迎接。,340287,
胡锦涛开始对塔吉克斯坦进行首次国事访问(图),340288," (3,塔吉克斯坦)"
